Country Name,Country Code,Series Name,Series Code,2011 [YR2011]
Belarus,BLR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.5
Belarus,BLR,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,20.12919087
Belarus,BLR,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Belarus,BLR,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
Belarus,BLR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.515
Belgium,BEL,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,3.6
Belgium,BEL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.7
Belgium,BEL,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,26.44563656
Belgium,BEL,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Belgium,BEL,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
Belgium,BEL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.81
Belize,BLZ,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,15.7
Belize,BLZ,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,22.53
Belize,BLZ,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,6.539692908
Belize,BLZ,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Belize,BLZ,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
Belize,BLZ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.585
Benin,BEN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,68.4
Benin,BEN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,39.202
Benin,BEN,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,5.973648935
Benin,BEN,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Benin,BEN,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
Benin,BEN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.366
Bermuda,BMU,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..
Bermuda,BMU,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.6
Bermuda,BMU,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,19.74413929
Bermuda,BMU,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Bermuda,BMU,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
Bermuda,BMU,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.6
Bhutan,BTN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,32.5
Bhutan,BTN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,18.994
Bhutan,BTN,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,7.973303585
Bhutan,BTN,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Bhutan,BTN,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
Bhutan,BTN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.21
Bolivia,BOL,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,31.5
Bolivia,BOL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,25.338
Bolivia,BOL,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,7.940513348
Bolivia,BOL,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Bolivia,BOL,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
Bolivia,BOL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,3.143
Bosnia and Herzegovina,BIH,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,6
Bosnia and Herzegovina,BIH,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,8.878
Bosnia and Herzegovina,BIH,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,20.36016635
Bosnia and Herzegovina,BIH,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Bosnia and Herzegovina,BIH,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
Bosnia and Herzegovina,BIH,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.216
Botswana,BWA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,48
Botswana,BWA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,27.596
Botswana,BWA,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,5.070018744
Botswana,BWA,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Botswana,BWA,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
Botswana,BWA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.999
Brazil,BRA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,16
Brazil,BRA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,15.309
Brazil,BRA,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,10.29452849
Brazil,BRA,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Brazil,BRA,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
Brazil,BRA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.8
British Virgin Islands,VGB,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,13.3
British Virgin Islands,VGB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.242
British Virgin Islands,VGB,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,8.495373806
British Virgin Islands,VGB,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
British Virgin Islands,VGB,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
British Virgin Islands,VGB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.269
Brunei Darussalam,BRN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,8.1
Brunei Darussalam,BRN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,17.344
Brunei Darussalam,BRN,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,4.920229559
Brunei Darussalam,BRN,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Brunei Darussalam,BRN,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
Brunei Darussalam,BRN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.957
Bulgaria,BGR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,8.7
Bulgaria,BGR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,9.6
Bulgaria,BGR,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,27.89953943
Bulgaria,BGR,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Bulgaria,BGR,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
Bulgaria,BGR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.51
Burkina Faso,BFA,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,66.4
Burkina Faso,BFA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,42.805
Burkina Faso,BFA,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,5.243973525
Burkina Faso,BFA,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Burkina Faso,BFA,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
Burkina Faso,BFA,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.869
Burundi,BDI,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,56.3
Burundi,BDI,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,45.583
Burundi,BDI,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,4.39904594
Burundi,BDI,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Burundi,BDI,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
Burundi,BDI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.108
Cabo Verde,CPV,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,21.5
Cabo Verde,CPV,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,21.727
Cabo Verde,CPV,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,9.463090291
Cabo Verde,CPV,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Cabo Verde,CPV,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
Cabo Verde,CPV,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.471
Cambodia,KHM,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,34.7
Cambodia,KHM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,23.369
Cambodia,KHM,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,5.783508344
Cambodia,KHM,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Cambodia,KHM,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
Cambodia,KHM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.701
Cameroon,CMR,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,66.6
Cameroon,CMR,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,39.368
Cameroon,CMR,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,5.616283051
Cameroon,CMR,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Cameroon,CMR,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
Cameroon,CMR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.058
Canada,CAN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,4.9
Canada,CAN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11
Canada,CAN,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,20.80613063
Canada,CAN,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Canada,CAN,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
Canada,CAN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.63
Cayman Islands,CYM,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..
Cayman Islands,CYM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,14.5
Cayman Islands,CYM,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,7.190761819
Cayman Islands,CYM,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Cayman Islands,CYM,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
Cayman Islands,CYM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,..
Central African Republic,CAF,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,89.3
Central African Republic,CAF,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,43.223
Central African Republic,CAF,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,3.93906787
Central African Republic,CAF,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Central African Republic,CAF,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
Central African Republic,CAF,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.963
Chad,TCD,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,82.7
Chad,TCD,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,48.357
Chad,TCD,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,4.440004749
Chad,TCD,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Chad,TCD,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
Chad,TCD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,6.948
Channel Islands,CHI,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,..
Channel Islands,CHI,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.99994297
Channel Islands,CHI,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,22.64827916
Channel Islands,CHI,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Channel Islands,CHI,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
Channel Islands,CHI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.626
Chile,CHL,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,7.3
Chile,CHL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,14.109
Chile,CHL,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,14.50602687
Chile,CHL,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Chile,CHL,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
Chile,CHL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.823
China,CHN,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,11.5
China,CHN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,13.27
China,CHN,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,12.10230266
China,CHN,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
China,CHN,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
China,CHN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.668
Colombia,COL,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,15.3
Colombia,COL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,16.609
Colombia,COL,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,9.100233222
Colombia,COL,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Colombia,COL,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
Colombia,COL,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.958
Comoros,COM,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,53.1
Comoros,COM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,33.841
Comoros,COM,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,7.749780695
Comoros,COM,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Comoros,COM,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
Comoros,COM,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.721
Congo,COD,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,81.8
Congo,COD,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,44.701
Congo,COD,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,6.106340316
Congo,COD,"Proportion of time spent on unpaid domestic and care work, female (% of 24 hour day)",SG.TIM.UWRK.FE,..
Congo,COD,"Proportion of time spent on unpaid domestic and care work, male (% of 24 hour day)",SG.TIM.UWRK.MA,..
