,country,female_fulltime_pct,male_fulltime_pct,total_fulltime_pct,care_time_female,care_time_male,care_time_total
163,Samoa,63.05800968,63.92759164,63.61116502,,,
164,San Marino,,,,,,
165,Sao Tome and Principe,22.61527156,43.94765875,37.1769919,,,
166,Saudi Arabia,98.22159893,94.57096066,94.99990089,,,
167,Senegal,17.43951279,29.26601043,25.13012052,,,
168,Serbia,66.07832667,63.1640904,64.43541769,19.7022,9.089865,14.3960325
169,Seychelles,,,,,,
170,Sierra Leone,4.605384759,14.24788621,9.346469745,,,
171,Singapore,90.99236653,81.9069669,85.49583545,,,
172,Sint Maarten (Dutch part),,,,,,
173,Slovak Republic,92.88676042,84.62019423,88.32069679,,,
174,Slovenia,86.62668417,80.95701159,83.57050977,20.55556,11.11111,15.833335
175,Solomon Islands,19.68374443,32.33700754,26.25524543,,,
176,Somalia,28.27170066,51.94898384,45.07373439,,,
177,South Africa,70.80078422,78.3668027,75.05542672,15.173615,5.9375,10.5555575
178,South Sudan,1.146473448,11.58350329,6.322529299,,,
179,Spain,83.63212911,77.70428545,80.15331978,19.72222,7.67361,13.697915
180,Sri Lanka,57.74253252,57.60708202,57.62278443,,,
181,St. Kitts and Nevis,,,,,,
182,St. Lucia,75.02444754,62.5031231,67.72497597,,,
183,St. Martin (French part),,,,,,
184,St. Vincent and the Grenadines,79.49658767,70.57595859,74.09787482,,,
185,Sudan,28.10246641,42.04842105,38.42785127,,,
186,Suriname,85.09298677,77.32259815,80.01844647,,,
187,Sweden,93.80769633,84.64835647,89.02670495,16.84651,12.762705,14.8046075
188,Switzerland,85.74377816,81.57971677,83.44533095,17.375695,10.34097333,13.85833417
189,Syrian Arab Republic,62.68349787,53.06590294,54.42465462,,,
190,Tajikistan,62.96667661,67.84197203,66.07113326,,,
191,Tanzania,6.700120648,15.5914402,11.18276535,16.77083,4.40972,10.590275
192,Thailand,39.53769464,42.29215834,41.04197314,12.305555,3.57639,7.9409725
193,Timor-Leste,20.8756469,33.79525746,28.0350345,,,
194,Togo,7.487153062,19.48862166,13.78395559,,,
195,Tonga,42.27722192,46.88540357,45.13308583,,,
196,Trinidad and Tobago,82.35651904,74.28119943,77.5726551,,,
197,Tunisia,79.85544709,69.94619169,72.41830786,21.94444,2.70833,12.326385
198,Turkiye,45.00116322,59.64690589,55.57596996,20.577355,3.628635,12.102995
199,Turkmenistan,60.91954244,62.65061427,61.71859334,,,
200,Turks and Caicos Islands,,,,,,
201,Tuvalu,,,,,,
202,Uganda,12.75673429,23.12342958,18.18356672,14.58333,7.5,11.041665
203,Ukraine,85.42903912,85.82479327,85.61337442,,,
204,United Arab Emirates,99.03475537,96.51648674,96.83183422,,,
205,United Kingdom,91.33427098,82.13017596,86.36483681,13.743775,7.55516,10.6494675
206,United States,95.65624329,89.8848402,92.53322761,15.815105,9.705729375,12.76041719
207,Uruguay,75.85438085,69.09094576,71.91703291,22.54154,9.0498,15.79567
208,Uzbekistan,64.51670617,38.19316511,48.05758455,,,
209,Vanuatu,20.93182817,31.29617173,26.89051853,,,
210,"Venezuela, RB",64.89323922,61.26632298,62.66718617,,,
211,Viet Nam,22.73471356,31.39039762,27.13602872,,,
212,Virgin Islands (U.S.),94.52663927,88.21282981,91.15831956,,,
213,West Bank and Gaza,59.56022646,65.75169527,64.73351291,21.631945,3.090275,12.36111
214,"Yemen, Rep.",31.28219542,53.4275022,49.76552732,,,
215,Zambia,9.947719038,27.8829988,19.63983968,,,
216,Zimbabwe,15.54213095,40.04092261,27.81065492,,,
